1001,1/1/1,,x,x,x,x,x,Asked Mark to program these in.
1002,,,,,,TESTER,TESTER,TESTER,,Tester
1069,4/23/13,BM,1.2.001,1.2.0,3.8,Yes,D
1070,4/23/13,BM,1.2.001,1.2.0,3.8,Yes,D
1071,4/23/13,BM,1.2.001,1.2.0,3.8,Yes,D
1072,4/23/13,BM,1.2.001,1.2.0,3.8,Yes,D
1073,4/26/13,BM,1.2.001,1.2.0,3.8,Yes,D
1074,4/26/13,BM,1.2.001,1.2.0,3.8,Yes,D
1075,4/26/13,BM,1.2.001,1.2.0,3.8,Yes,D,GbE Out Port not working - connecting at 100Mbps - replaced J9 BelFuse L826-1X1T-23-F
1076,4/26/13,BM,1.2.001,1.2.0,3.8,Yes,D
1077,4/26/13,BM,1.2.001,1.2.0,3.8,Yes,D
1078,4/26/13,BM,1.2.001,1.2.0,3.8,Yes,D
1079,4/26/13,BM,1.2.001,1.2.0,3.8,Yes,D
1080,4/26/13,BM,1.2.001,1.2.0,3.8,Yes,D
1081,4/26/13,BM,1.2.001,1.2.0,3.8,Yes,D
1082,4/26/13,BM,1.2.001,1.2.0,3.8,Yes,D
1083,1/01/01,??,1.2.001,1.2.0,3.8,Yes,D,bad management Ports - MACs and SN not programmed - sent to AA to replace U1
1084,4/26/13,BM,1.2.001,1.2.0,3.8,Yes,D
1085,4/26/13,BM,1.2.001,1.2.0,3.8,Yes,D
1086,4/26/13,BM,1.2.001,1.2.0,3.8,Yes,D
1087,4/26/13,BM,1.2.001,1.2.0,3.8,Yes,D
1088,4/26/13,BM,1.2.002,1.2.0,4.1,Yes,D
1089,4/26/13,BM,1.2.002,1.2.0,4.1,Yes,D
1090,5/10/13,BM,1.2.002,1.2.0,4.1,Yes,D
1091,5/10/13,BM,1.2.002,1.2.0,4.1,Yes,D
1092,5/10/13,BM,1.2.002,1.2.0,4.2,Yes,D
1093,5/10/13,BM,1.2.002,1.2.0,4.2,Yes,D
1094,5/10/13,BM,1.2.002,1.2.0,4.2,Yes,D
1095,5/10/13,BM,1.2.002,1.2.0,4.2,Yes,D
1096,5/10/13,BM,1.2.002,1.2.0,4.2,Yes,D
1097,5/10/13,BM,1.2.002,1.2.0,4.2,Yes,D
1098,5/10/13,BM,1.2.002,1.2.0,4.2,Yes,D
1099,5/10/13,BM,1.2.002,1.2.0,3.8,Yes,D
1100,5/17/13,BM,1.2.002,1.2.0,3.8,Yes,D
1101,5/17/13,BM,1.2.002,1.2.0,3.8,Yes,D
1102,5/17/13,BM,1.2.002,1.2.0,3.8,Yes,D
1103,5/17/13,BM,1.2.002,1.2.0,3.8,Yes,D
1104,5/17/13,BM,1.2.002,1.2.0,3.8,Yes,D
1105,5/17/13,BM,1.2.002,1.2.0,3.8,Yes,D
1106,5/17/13,BM,1.2.002,1.2.0,3.8,Yes,D
1107,5/17/13,BM,1.2.002,1.2.0,3.8,Yes,D
1108,5/17/13,BM,1.2.002,1.2.0,3.8,Yes,D
1109,5/17/13,BM,1.2.002,1.2.0,3.8,Yes,D
1110,5/17/13,BM,1.2.002,1.2.0,4.2,Yes,D
